#Spectroscopic redshift catalogue from Noirot et al.
#See Table B1 in Noirot et al. for a description of catalogue entries 
ID RA DEC FLUX_F435W FLUXERR_F435W FLUX_F606W FLUXERR_F606W FLUX_F814W FLUXERR_F814W FLUX_F090W FLUXERR_F090W FLUX_F150W FLUXERR_F150W FLUX_F200W FLUXERR_F200W FLUX_F277W FLUXERR_F277W FLUX_F356W FLUXERR_F356W FLUX_F444W FLUXERR_F444W Z_GRISM ZERR_GRISM Q_FLAG Z_SPEC REF_SPEC FLAG_MERGE_GRISM FLAG_MERGE_SPEC MU
679 110.840771 -73.45534 5331.13 200.26 3805.05 98.72 5133.27 239.21 8397.15 37.97 12950.6 39.64 15299.92 31.16 11982.81 186.6 11905.77 16.86 10410.59 15.68 "" "" -99 1.3782 muse False False 52.1
680 110.871357 -73.455426 1139.93 104.9 1212.55 47.45 1612.24 64.91 2180.51 15.88 2947.75 15.03 2717.72 9.37 2689.78 5.74 2669.8 5.25 2175.85 6.89 1.085 0.0006 2 "" "" True False 2.9
703 110.760804 -73.454252 1038.39 114.3 8568.07 54.9 21203.04 74.79 26409.57 21.33 58118.29 23.35 71515.44 19.46 67849.68 14.58 40986.97 9.87 33580.64 9.98 0.3787 0.0007 1 "" "" False False 1.0
710 110.877524 -73.453832 158.95 55.07 271.81 30.57 357.15 33.45 417.56 8.33 820.49 8.16 807.59 5.04 874.52 3.08 903.59 2.82 953.97 3.76 1.4874 0.0006 1 "" "" True False 3.1
711 110.770814 -73.453866 286.0 62.8 261.33 31.06 251.5 36.83 280.41 9.03 683.07 8.6 692.03 5.38 648.65 3.37 630.88 3.1 633.17 4.08 1.883 0.0027 2 "" "" False False 3.1
712 110.837905 -73.453707 391.46 101.05 3376.03 48.27 8331.81 345.11 10804.01 21.94 21421.67 21.21 25353.27 15.95 22865.63 8.91 14270.83 6.8 11251.59 7.64 0.3795 0.0011 1 0.3865 muse False False 1.0
713 110.850353 -73.453789 140.79 44.83 760.0 23.16 1631.55 29.56 1972.06 7.51 3990.83 7.85 4796.84 5.6 4375.06 3.65 2768.88 2.83 2275.86 3.23 0.3828 0.0021 1 "" "" False False 1.0
721 110.746073 -73.453278 1074.2 59.21 1849.7 27.14 2475.56 35.48 2670.31 15.32 3208.7 11.46 3322.35 8.39 3054.52 5.5 2024.65 4.7 1699.87 5.89 "" "" -99 0.424 nirspec False False 1.1
734 110.83879 -73.45279 36.2 72.09 1124.68 81.9 2388.8 886.87 3893.8 12.27 7871.05 12.52 9163.04 8.54 8742.14 5.25 5392.22 4.26 4201.8 5.06 0.3999 0.0022 1 "" "" False False 1.1
735 110.800157 -73.452782 893.74 80.99 2500.61 41.31 4346.75 49.95 4569.23 13.25 6946.47 12.91 7545.42 8.87 6743.78 5.04 4255.81 4.44 3378.35 5.32 0.3863 0.0043 1 "" "" False False 1.0
738 110.852012 -73.452346 1089.47 164.86 1976.21 923.08 2290.05 100.66 3951.79 27.13 7833.57 26.01 8039.42 16.35 9247.17 9.43 9027.63 8.57 9245.51 11.08 "" "" -99 1.4816 muse False True 10.1
740 110.761439 -73.452501 125.18 46.92 188.05 22.55 195.26 29.47 187.99 6.68 359.29 6.33 420.35 4.09 357.69 2.46 369.77 2.26 356.7 3.0 1.7189 0.0021 2 "" "" False False 2.4
750 110.765935 -73.451708 15.61 137.32 18.12 66.43 41.87 81.63 221.37 19.63 3078.86 18.83 6439.38 12.29 12786.38 8.07 20492.82 8.05 27414.4 10.29 2.2812 0.0028 2 2.463 nirspec False False 2.9
